輸入規定代號,規定中文說明,規定英文說明,規定生效日
375,一、進口經勞動部指定或公告指定之機械、設備或器具（以下簡稱受指定產品），應取得勞動部核發之登錄完成通知書，或勞動部認可之型式驗證機構核發之型式驗證合格證書，並應申報填列登錄完成通知書號碼（十四碼）或型式驗證合格證明書號碼（十四碼）。進口受指定產品如未取得前述登錄完成通知書或型式驗證合格證明書，得向勞動部辦理輸入品具結先行放行，並應申報填列輸入先行放行通知書號碼（十四碼）。二、進口符合下列之受指定產品，逐案於指定網站完成填報，及上傳勞動部核發之同意文件或目的事業主管機關核發之確認文件，並於進口報單填列指定代碼者，免依第一項規定辦理：（一）已依其他法律規定實施檢查、檢驗、驗證或認可者。（二）屬專供國防軍事、科技研究、實驗、展覽或測試用途者，已取得目的事業主管機關核發之確認文件。（三）進口至國內組裝、加工後，將復運出口者。三、進口非屬受指定產品，於進口報單填列專用代碼ＭＬ９９９９９９９９９９８９者，免依第一項規定辦理。,"1. Importation of the required or regulated machinery, equipment and tools by the Ministry of Labor (MOL) (hereinafter referred to as ""The regulated Goods"") must be handled according to the following regulations: (1) A copy of the registration document for the regulated Goods issued by the MOL or the Conformity of Certificate (COC) of Type-Certification issued by the designated Type-Certification Bodies (TCBs) should be obtained, and; (2) the number of the registration document or the COC (all consisting of 14 letters and digits) must be declared and listed in the import declaration. In case of importation of the regulated Goods without the registration document or the Conformity of Certificate (COC) of Type-Certification, the Application for Prior Release for the importation of the regulated Goods may be submitted to MOL. The specified number for Prior Release for the importation of the regulated Goods (14 letters and digits) must be declared and listed in the import declaration. 2. For the importation of the regulated Goods which meet any one of following conditions, these have been registered and uploaded the Approval document by the MOL or the Authority on the specified website, and the specified code should be listed on the import declaration are exempted from the above regulations of item 1 :(1) regulated Goods are subject to requirements for inspection, certification, approval or management in accordance with other laws or acts, (2) Importation of Goods for military or national defense use, sole purpose of technological research and development, experimental study, exhibition or testing use, an approval issued by the Authority. (3) Certain Goods to be imported will be exported after further processing or assembling.3. Importing Goods are exemption from the scope for the above regulations of item 1, the specialized code ML999999999989 should be listed on the import application for these Goods.",1091101
401,應檢附農業部同意文件。,Approval from the Ministry of Agriculture is required.,1121023
402,應檢附種苗業登記證影本，但進口數量在１００公克以下者，得免附。,"A photocopy of seed plant enterprise registration certificate is required, unless the quantity of the commodity to be imported is below 100 grams.",0830701
403,進口肥料應檢附農業部核發之肥料登記證影本（限原證持有者進口）或同意文件。,"To import fertilizer, a photocopy of the fertilizer registration certificate (this certificate should be used exclusively by the owner himself) or a notice of approval from the Ministry of Agriculture is required.",1121023
404,（一）進口飼料，應檢附農業部核發之飼料輸入登記證影本或農業部、臺北市、高雄巿政府核發之飼料製造登記證影本（持飼料製造登記證申請進口者，僅限飼料工廠進口自用飼料原料）。（二）進口飼料添加物，應檢附農業部核發之飼料添加物輸入登記證影本（以上飼料或飼料添加物品目以農業部公告者為準）。（三）非飼料或飼料添加物登記證持有者，應加附持有者之授權文件，或於登記證影本上加蓋授權使用之章戳。（四）如屬樣品、贈品，應檢附農業部或臺北市、高雄巿政府核發之進口同意文件。,"(1) For importation of feedstuff, a photocopy of registration certificate for importation of feedstuff issued by the Ministry of Agriculture or a photocopy of registration certificate for manufacturing of feedstuff issued by the Ministry of Agriculture , Taipei or Kaohsiung City Government is required. (The importer who may use the registration certificate for manufacturing of feedstuff in applying for importation of feedstuff is limited to the manufacturer of feedstuff, who will use the feedstuff as materials by himself). (2) For importation of feedstuff additives, a photocopy of registration certificate for importation of feedstuff additives issued by the Ministry of Agriculture is required. (The above mentioned feedstuff and feedstuff additives should be limited to those duly announced by the Ministry of Agriculture ). (3) For non-certificate holders, they shall submit an application for importation together with an authorization documentation issued by the owner of such a certificate or a stamp on the photocopy of the said certificate indicating that authorization to use the relevant certificate has been granted. (4) If the imported goods are samples or gifts, an approval from the Ministry of Agriculture , Taipei or Kaohsiung City Government is required.",1121023
405,進口農藥：（一）農藥成品應檢附農業部動植物防疫檢疫署核發之農藥許可證及農藥販賣業執照影本（二）農藥原體限由農藥製造業者進口，應檢附農藥（製造）許可證及農藥（原體輸入）許可證影本（三）非農藥許可證持有者，應加附持有者之授權文件，或於農藥許可證影本上加蓋授權使用之章戳。,"For importation of agro-pesticides: (1) A photocopy of agro-pesticide (import) license and a license for dealing in agro-pesticides issued by the Animal and Plant Health Inspection Agency, Ministry of Agriculture are required. (2) Application for import of technical grade agro-pesticides is limited to pesticide manufacturers. The agro-applicant shall present both licenses for manufacturing agro-pesticides and technical grade agro-pesticides. (3) Nonlicensed importers shall submit an application accompanied by an authorization documentation issued by the license owner or a stamp on the photocopy of agro-pesticide license indicating that authorization to use the relevant license has been granted.",1121023
406,進口動物用藥品（包括原料藥、製劑及生物藥品）：（一）應取得（１）「動物用藥品販賣業許可證」及農業部核發之輸入「動物用藥品許可證」（非輸入動物用藥品許可證持有者應得到原證持有者之授權），或（２）如屬自用原料，應取得農業部核發含該成分製劑之「製造動物用藥品許可證」及農業部動植物防疫檢疫署核發之「動物用藥品自用原料藥輸入審核通知書」。（二）如屬樣品、贈品，應取得農業部動植物防疫檢疫署核發之「動物用藥品樣品、贈品輸入審核通知書」。,"For importation of veterinary drugs (including raw material pharmaceutical products, pharmaceutical products, and biological products): (1) a) A ""veterinary drug dealer license"" and a ""veterinary drug import license"" (non-licensed importers shall be authorized by the license holder) issued by the Ministry of Agriculture , are prerequisite; or b) if the imported goods are raw (bulk) materials limited to the self-use of veterinary drug manufacturer, a ""license for manufacturing veterinary drug "" containing the active ingredient(s) issued by the Ministry of Agriculture and an ""Import Certificate For Raw (Bulk) Material Limited to The Veterinary Drug Manufacturer for Self-use "" issued by the Animal and Plant Health Inspection Agency, Ministry of Agriculture are prerequisite. 2) If the imported goods are samples or gifts, an ""Import Certificate for Veterinary Drug Samples or Gifts"" issued by the Animal and Plant Health Inspection Agency, Ministry of Agriculture is prerequisite.",1121023
442,應檢附農業部漁業署同意文件。,"Approval from the Fisheries Agency, Ministry of Agriculture is required.",1121023
451,１．應檢附農業部核發之同意文件或完成糧商登記（業務種類含輸入）之證明文件；惟稻穀及糙米應檢附農業部核發之同意文件。２．含有非經中央主管機關同意境外生產之國內育成水稻品種者，不得輸入我國。但經中央主管機關核准者，不在此限。,"1.Importers are required to attach a photocopy of an approval permit or a registered food dealer's identification document(registered item should involve food importation)issued by the Ministry of Agriculture but imported rough rice and brown rice are required to attach a photocopy of an approval permit issued by the Ministry of Agriculture .2.The rice items containing rice varieties bred domestically that have not been allowed by the Central Competent Authority for overseas cultivation are prohibited for import, unless such import has been approved by the Central Competent Authority.",1121023
454,（一）應檢附農業部核發之同意文件或完成糧商登記（業務種類含輸入）之證明文件；惟重量在６公斤以下者，不限通關途徑及貨品輸入人，免檢附該同意文件，應於進口報單填列免證通關代碼「ＡＧＧ９８８８８８８８８８０」，據以報關進口。（二）以上所稱重量在６公斤以下者，係指整份報單或報關單所申報白米及糯米之合計總重量。（三）含有非經中央主管機關同意境外生產之國內育成水稻品種者，不得輸入我國。但經中央主管機關核准或前點重量在６公斤以下者，不在此限。,"1. Importers are required to attach a photocopy of an approval permit or a registered food dealer's identification document (registered item should involve food importation) issued by the Ministry of Agriculture; those equal to or less than 6 kg, regardless of the clearance methods and importers, are exempted from that requirement, but the exemption code ""AGG98888888880"" should be specified on the import declaration document. 2. The 6 kg above refers to the combined weight of white rice and glutinous rice stated on the declaration document or filed for clearance. 3. The rice items containing rice varieties bred domestically that have not been allowed by the Central Competent Authority for overseas cultivation are prohibited for import, unless such import has been approved by the Central Competent Authority or those equal to or less than 6 kg.",1121023
462,進口英國蘇格蘭威士忌酒，應檢附英國海關核發之蘇格蘭威士忌酒酒齡及產地證明書；如屬進口供自用且其數量不超過５公升者免附。,"Imported Scotch whisky shall be taxed and released upon presentation of a""certificate of age and origin for Scotch whisky:(C&E 94J)""issued by the Customs of the United Kingdom of Great Britain and Northern Ireland. Provided that the importation is for personal use and the quantity does not exceed 5 liters, the above mentioned C&E 94J certificate is waived.",0991202
463,一、應檢附財政部核發之菸酒進口業許可執照影本或財政部同意文件。如屬進口供自用之菸酒，其數量不超過下列規定者免附：（一）菸：捲菸５條（１０００支）、雪茄１２５支、菸絲５磅。（二）酒：５公升。二、進口供分裝之菸，業者於報關時應報明其用途，並檢附生產國政府或政府授權之商會所出具之原產地證明。,"1. A photocopy of the tobacco and/or alcohol importer business license or an approval issued by Ministry of Finance is required. Provided that the importation is for self-consumption and the quantity does not exceed the following, the above mentioned documents are not required: (1) Tobacco: 1,000 cigarettes, 125 cigars or 5 pounds of cut tobacco. (2) Alcoholic beverage: 5 liters.2. For importation of tobacco products to repackage, the usage should be specified during customs clearance, and the certificate of origin issued by the government or chambers of commerce authorized by the government of the country of production is required.",1020101
465,應檢附（一）出口國、產製國政府或其授權單位出具之產地證明，或（二）出口國主管機關核發含有動物來源之水域或養殖場名稱及地址之動物檢疫證明書影本（適用ＣＣＣ０３０１．９２．１０．１０－１、０３０１．９２．１０．２０－９及０３０１．９２．１０．９０－４等３項貨品），或（三）出口國核發含有捕撈或養殖地資訊之官方衛生證明文件影本（適用ＣＣＣ０３０７．１１．９０．１０－６、０３０７．１１．９０．９０－９、０３０７．１２．００．００－６、０３０７．７１．３０．１０－６、０３０７．７１．３０．２０－４、０３０７．７１．９０．１０－３、０３０７．７２．４０．００－５、０３０７．８１．２１．００－７、０３０７．８１．２２．１０－４、０３０７．８１．２２．２０－２及０３０７．８３．２０．００－６等１１項貨品），或（四）經濟部國際貿易局公告出口國與我國諮商取代該國產地證明之文件，（五）如屬進口供自用之貨品（活動物除外），且其數量未超過６公斤者免附。,"Importers are required to have one of the following documents: (1) Certificate of Origin issued by either the exporting country, the government of the country of origin or its authorized agency; or (2) a photocopy of a health certificate specifies the information of the name of the water area of origin or name and address of the aquaculture facility of origin issued by the exporting country s competent authority applicable to CCC0301.92. 10.10-1 ,0301.92.10.20-9 and 0301.92.10.90-4) or (3) a photocopy of a health certificate includes the information of the catching or harvest area issued by the official competent authority of the exporting country applicable to CCC0307.11.90.10-6,0307.11.90.90-9, 0307.12.00.00-6, 0307.71.30.10-6, 0307.71.30.20-4, 0307.71.90.10-3, 0307.72.40.00-5, 0307.81.21.00-7, 0307.81.22.10-4, 0307.81.22.20-2 and 0307.83.20.00-6) or (4) a document in lieu of Certificate of Origin from the country of origin that has been negotiated between the country of origin and our country and of which the Bureau of Foreign Trade has issued a public announcement. (5) Provided that the importation is for self consumption and the quantity does not exceed 6 kilograms (except live animal), the above mentioned documents are not required.",1120809
466,自北韓以外之國家或地區輸入時，應檢附產製國政府或其授權單位出具之產地證明。,"For importation of commodities from a country or region other than North Korea, importers are required to have a Certificate of Origin issued either by the government of the country of origin or its authorized agency.",1060821
467,一、供製酒及製藥酒以外工業使用之自用未變性酒精，應檢附經濟部產業發展署之同意文件；供製酒使用之未變性酒精，應檢附財政部之同意文件；供軍事機關、軍事學校及軍醫院使用之自用未變性酒精，應檢附國防部之同意文件；供製藥酒工業使用之自用未變性酒精，應檢附衛生福利部之同意文件；供醫療使用之自用未變性酒精，應檢附衛生主管機關核發之開業證明文件影本；供檢驗使用之自用未變性酒精，應檢附檢測產品之各主管機關同意或證明用途文件；供學校實驗研究使用之自用未變性酒精，應檢附教育部之同意文件；供中央研究院實驗研究使用之自用未變性酒精，應檢附中央研究院之同意文件；供能源使用之自用未變性酒精，應檢附經濟部能源署之同意文件。二、酒精成分達百分之九十九點五以上，且單位包裝容量為五公升以下之無水酒精，供醫療、檢驗、實驗研究使用者，應檢附財政部核發之未變性酒精進口業許可執照影本。,"1.For importation of undenatured ethyl alcohol to be used by a business other than one registered for the manufacture of alcoholic beverages and medicated alcohol, an approval from the Industrial Development Administration, Ministry of Economic Affairs is required. For importation of undenatured ethyl alcohol to be used by a business registered for the manufacture of alcoholic beverages, an approval from the Ministry of Finance is required. For importation of undenatured ethyl alcohol to be used by the military authority, military schools, or military hospitals, an approval from the Ministry of National Defense is required. For importation of undenatured ethyl alcohol to be used by a business registered for the manufacture of medicated alcohol, an approval from the Ministry of Health and Welfare is required. For importation of undenatured ethyl alcohol to be used for medication, a copy of practice license issued by the health competent authority is required. For importation of undenatured ethyl alcohol to be used for inspection, an approval or a proof of purpose issued by the competent authorities of relevant products is required. For importation of undenatured ethyl alcohol to be used for experimentation research by schools, an approval from the Ministry of Education is required. For importation of undenatured ethyl alcohol to be used for experimental research by the Academia Sinica, an approval from the Academia Sinica is required. For importation of undenatured ethyl alcohol to be used for energy, an approval from the Energy Administration, Ministry of Economic Affairs is required. 2.For importation of dehydrated alcohol with alcoholic strength over 99.5% and unit volume of less than five liters to be used for medication, inspection and  experimental research, an import license of   undenatured ethyl alcohol issued by the Ministry of Finance is required.",1130301
468,（一）進口電池應檢附出口國、產製國政府或其授權單位出具之產地證明文件；（二）進口模組除應檢附出口國、產製國政府或其授權單位出具之產地證明文件外，並應檢附模組及其電池非大陸地區產製之文件或切結書供海關查驗。,"(1)For the importation of cells, a Certificate of Origin for cells issued by either the government of the exporting country, the government of the country of origin, or authorized agencies of either the exporting country or the country of origin is required; (2)For the importation of modules (or panels), a Certificate of Origin for modules (or panels) issued by either the government of the exporting country, the government of the country of origin, or authorized agencies of either the exporting country or the country of origin, and an affidavit assuring that modules (or panels) and cells are not manufactured in mainland China are required.",1110617
469,除產地為財政部公告應課徵反傾銷稅之國家者外，進口時應檢附出口國、產製國政府或其授權單位出具之產地證明。,"Except for products with country of origin that the Ministry of Finance has declared are subject to anti-dumping duties, importers shall provide a Certificate of Origin issued by either the government of the exporting country, the government of the country of origin or authorized agencies of either the exporting country or the country of origin.",1081001
501,應檢附衛生福利部同意文件。,Approval from the Ministry of Health and Welfare is required.,1020904
502,進口乾品：（一）應檢附中藥商執照影本或衛生福利部核發之藥品製造許可證影本。（二）進口粉末貨品，應另檢附衛生福利部核發之藥品許可證影本，或衛生福利部核發之同意文件。（三）貨品名稱應載明中文本草名及中藥材或中藥粉。進口非乾品，不受前述之限制。,"For importing dry goods:(1) A photocopy of business license for dealing with Chinese medicine ( or pharmaceutical manufacturing license issued by the Ministry of Health and Welfare ) is required.(2) Importing powder goods should be attached a photocopy of the drug license issued by the Ministry of Health and Welfare, or an approval document issued by the Ministry of Health and Welfare.(3) Commodity description shall indicate the specific name in Chinese and Chinese medicine materials or Chinese medicine powder.The above regulations do not apply to importing non-dry goods.",1050301
503,進口人用藥品（包括製劑、原料藥、助診藥類及人用生物製劑）：應檢附（一）藥商許可執照影本及衛生福利部核發之（輸入）藥品許可證影本，或（二）衛生福利部核發之同意文件。,"Importation of drugs (including pharmaceutical products, active pharmaceutical ingredients, diagnostics and biological products) for human use requires either of the following: (1) a photocopy of the drug (import) license issued by the  Ministry of Health and Welfare together with a photocopy of the license of the pharmaceutical firm; or (2) an approval issued by the  Ministry of Health and Welfare.",1020904
504,一、進口人用醫療器材應依下列規定辦理：（一）應檢附衛生福利部核發之醫療器材許可證影本或同意文件，並應申報填列醫療器材許可證號碼（十四碼）。（二）如屬危險性醫療儀器，除應檢附衛生福利部核發之醫療器材許可證影本，及申報填列醫療器材許可證號碼（十四碼）外，並須檢附衛生福利部核准醫療機構購置之同意文件。二、非供人用者免依上述規定辦理。,"1. Importation of medical devices for human use must be handled according to the following regulations: (1) A photocopy of the medical devices pre-marketing license or an approval document issued by the Ministry of Health and Welfare should be submitted. In addition, the number of the pre-marketing license (consisting of 14 letters and digits) must be declared and listed in the import declaration . (2) If the medical devices being imported are dangerous, then besides the photocopy of the medical device pre-marketing license and the license number declared and listed in the import declaration, an approval of the medical institutions/facilities procurement from the Ministry of Health and Welfare is also required. 2. Importation of medical devices which are not for human use are exempted from the above regulations.",1021003
505,進口中藥藥品（藥品許可證處方內容以中文標示者）應檢附（一）藥商許可執照影本及衛生福利部核發之（輸入）藥品許可證影本，或（二）衛生福利部中醫藥司核發之同意文件。,"Importation of Chinese medicines (with the content of the formula of the drug written in Chinese on the import license) requires either of the following: (1) a photocopy of the drug (import) license issued by the Ministry of Health and Welfare together with a photocopy of the license of the pharmaceutical firm; or (2) an approval issued by the Department of Chinese Medicine and Pharmacy, Ministry of Health and Welfare.",1020904
506,進口人用藥品（包括製劑、原料藥、助診藥類及人用生物製劑）：　應檢附（一）藥商許可執照影本及衛生福利部核發之（輸入）藥品許可證影本，或（二）衛生福利部核發之同意文件。（三）如屬專供研究或實驗用之抗生素及其衍生物，於進口報單填列專用代碼　ＤＨＭ９９９９９９９９５０６，免依上述規定辦理。,"Importation of drugs (including pharmaceutical products, active pharmaceutical ingredients, diagnostics and biological products) for human use requires either of the following: (1) a photocopy of the drug (import) license issued by the Ministry of Health and Welfare together with a photocopy of the license of the pharmaceutical firm; or (2) an approval issued by the Ministry of Health and Welfare.(3)Importing antibiotics and their other derivatives for research use, or experiment use should list the special code DHM99999999506 on the import application and is exempted from the above regulations.",1051213
507,進口特定用途化粧品應依下列規定辦理：（一）　應檢附衛生福利部核發之特定用途化粧品許可證影本或同意書，並應申報填列特定用途化粧品簽審文件編號　（二）如屬個人自用之特定用途化粧品，每種至多１２瓶　（盒、罐、包、袋），合計不得超過３６瓶　（盒、罐、包、袋，以原包裝為限），得於進口報單填列專用代碼ＤＨＭ９９９９９９９９５０７，免依上述規定辦理。,"Importation of specific purpose cosmetics must be handled according to the following regulations:(1) A photocopy of the specific purpose cosmetics pre-marketing license or an approval document issued by the Ministry of Health and Welfare should be submitted. In addition, the number of the pre-marketing license (consisting of 14 letters and digits) must be declared and listed in the import declaration.(2)Provided that the importation is for self-consumption and the quantity does 1 species not exceed 12 PCE (EAC,BOT) and overall amount not exceed 36 PCE (EAC,BOT) should list the special code DHM99999999507 on the import application and is exempted from the above regulations.",1080701
508,一、進口食品添加物應依下列規定辦理：（一）輸入衛生福利部發布「食品添加物使用範圍及限量暨規格標準」收載之單方食品添加物（香料除外），應向衛生福利部取得食品添加物許可證，並依Ｆ０１規定辦理。（二）如屬香料或複方食品添加物，應依Ｆ０１規定辦理。二、進口非食品添加物之食品原料，應依Ｆ０１規定辦理。三、如屬食品添加物之樣品、贈品，應向衛生福利部取得「貨品進口同意書」。四、進口非供食品或食品添加物用途者，於進口報單填列專用代碼ＤＨ９９９９９９９９９５０８，免依上述規定辦理。,"1. For importation of food additives must be handled according to the following regulations: (1) If the petitioned food additive (excluding flavorings) is enlist in the current ""Standards for Specification, Scope, Application and Limitation of Food Additives"", a food additives license approval from the Ministry of Health and Welfare is required, and shall be governed by the regulation of ""F01"". (2) For importation of flavorings or food additive mixtures, shall be governed by the regulation of ""F01"". 2. For importation of foods but not food additives, shall be governed by the regulation of ""F01"". 3. If the imported food additives are samples or gifts, an ""import certificate"" approval from the Ministry of Health and Welfare is required. 4. Importation of commodity not to be used as foods or food additives, should list the special code DH999999999508 on the import application and is exempted from the above regulations.",1100120
509,（一）進口屬藥品，應依５０３規定辦理。（二）進口屬食品添加物，應依５０８規定辦理。（三）進口非屬上述項目者，應註明「本貨品非屬藥品、食品添加物」字樣，免依上述規定辦理。,"(1) For importation of medicine, it is governed by the regulation of ""503"".(2) For importation of food additives, it is governed by the regulation of ""508"".(3)Importation of commodity not belong the aforesaid items shall be exempted from the aforesaid regulations, but a clear indication that the commodity is "" not belong to medicine and food additives"" is required.",1040923
511,進口錠劑、膠囊狀食物製品，應向衛生福利部取得許可文件（該許可文件僅限申請之進口業者自行持用，不得授權其他業者使用）。如屬樣品、贈品，應向衛生福利部取得「貨品進口同意書」。,"For importation of foods in capsule or tablet form, approval from the Ministry of Health and Welfare is required. (This APPROVAL should be used exclusively by the owner himself and authorization to use by others is prohibited.) If the imported goods are samples or gifts, an ""import certificate"" approval from the Ministry of Health and Welfare is required.",1100120
513,（一）進口中藥材，應依５０２規定辦理。（二）進口非供中藥用者，應註明「非中藥用」字樣，免依５０２規定辦理。,"(1) Importation of Chinese medicine materials shall comply with the regulation of ""502"". (2) Importation of commodity not to be used as Chinese medicine shall be exempted from complying with the regulation of ""502"", but a clear indication that the commodity is ""not to be used as Chinese medicine"" is required.",1020904
514,（一）進口屬食品及其相關產品，應依Ｆ０１規定辦理。（二）進口屬中藥材，應依５０２規定辦理。（三）進口本項貨品未取得上開主管機關輸入許可文件者，不准進口。,"(1) Importation of foods and food-relevant products is governed by the regulation of ""F01"".(2) Importation of Chinese medicine materials shall comply with the regulation of ""502"".(3) For importing good under this item without import approval document from the competent authority, is not allowed to be imported.",1050115
522,進口管制藥品（包括人用、動物用麻醉藥品、影響精神藥品及其原料）應檢附衛生福利部食品藥物管理署核發之同意文件（輸入憑照或輸入同意書）；該同意文件第二聯於通關時經海關核驗簽署後，由進口人交還食品藥物管理署。,"For importation of controlled drugs (including narcotics drugs and psychotropic substances for human use or veterinary medicines as well as active pharmaceutical ingredient), an approval issued by Food and Drug Administration , Ministry of Health and Welfare is required. Importer must return one copy of the above mentioned approval  to issuing authority  after clearance and endorsement by customs",1021004
526,（一）進口診斷用之試劑及配置試劑，不論是否有底襯，不包括第３００２節或第３００６節所列者，應檢附衛生福利部核發之同意文件。（二）進口研究用、實驗用或非供人用之試劑，於進口報單填列專用代碼　ＤＨＭ９９９９９９９９９９９，免依上述規定辦理。,"(1)Importing reagents and prepared reagents for diagnostic use, whether on a backing or not, and other than those of heading No. 30.02 or 30.06, should provide an approval document issued by the Ministry of Health and Welfare. (2)Importing reagents for research use, or experiment use, or not for human use, should list the special code DHM99999999999 on the import application and is exempted from the above regulations.",1020904
528,（一）進口中藥材，應依５０２規定辦理（二）進口食品及相關產品，應依Ｆ０１規定辦理（三）進口非屬上述項目者，應註明實際用途，免依上述規定辦理。,"(1) Importation of Chinese medicine materials shall comply with the regulation of ""502"". (2)Importation of foods and food-relevant products is governed by the regulation of ""F01"".(3) Importation of commodity not belong to the aforesaid items shall be exempted the Practical use is required.",1050331
530,一、進口人用醫療器材應依下列規定辦理：（一）應檢附衛生福利部核發之醫療器材許可證影本或同意文件，並應申報填列醫療器材許可證號碼（十四碼）。（二）如屬危險性醫療儀器，除應檢附衛生福利部核發之醫療器材許可證影本，及申報填列醫療器材許可證號碼（十四碼）外，並須檢附衛生福利部核准醫療機構購置之同意文件。（三）進口專供藥物臨床試驗計畫之試驗用檢體採集耗材套組，於進口報單填列專用代碼ＤＨＭ００００００００５０４。二、非供人用者免依上述規定辦理。,"1. Importation of medical devices for human use must be handled according to the following regulations: (1) A photocopy of the medical devices pre-marketing license or an approval document issued by the Ministry of Health and Welfare should be submitted. In addition, the number of the pre-marketing license (consisting of 14 letters and digits) must be declared and listed in the import declaration . (2) If the medical devices being imported are dangerous, then besides the photocopy of the medical device pre-marketing license and the license number declared and listed in the import declaration, an approval of the medical institutions/facilities procurement from the Ministry of Health and Welfare is also required. (3) Importation of laboratory kit for medicaments (drugs and medical devices) clinical trial use should list the special code DHM00000000504 on the import application.2. Importation of medical devices which are not for human use are exempted from the above regulations.",1070501
550,應檢附環境部核發之同意文件。,Approval from the Ministry of Environment is required.,1120918
551,應檢附直轄市、縣市主管機關核發之同意文件；輸出國為日本且該同意文件註明屬有害事業廢棄物者，應另檢附日本海關已用印之『輸出移動書類』，憑以報關進口。,"Consent letter from a competent authority at the municipal, city or county government level is required. When the waste is stated as hazardous industrial waste in the mentioned consent letter, and is originated from Japan, the Movement Document with the stamp of approval from Japanese Customs should also be attached for the purpose of imports customs clearance.",1021225
